type,count
"BP_Chandelier_A_Church_Hornburg_C",11
"BattleFCSupportMemberList_C",11
"AttachTab_C",11
"BattleMemberList_C",11
"TowerMiniBtn_C",11
"TowerRewardItemList_C",11
"WidgetAnimationDelegateBinding",11
"FontFace",11
"FCSkillDetailPanel_C",11
"ClassBoardLevelButton_C",11
"GachaResultChPanel_C",11
"GachaChParaChangeBtn_C",11
"GachaResultChPanel_QPS02_C",11
"HandicapRewardGauge_C",11
"BattleCommandPlayerAttIcon_C",11
"BattleEnemyBPParts_C",11
"GrowthEquipMaterialSlotList_C",11
"EquipSupportList_C",11
"StoryLogSectionList_C",11
"BPI_Obj_SeikaTorch_Blue_B_C",10
"BPI_Obj_Com_Deck_Pillar_AY_S_8_C",10
"BPI_Obj_Com_Deck_Pillar_AY_S_6_C",10
"BP_EnvObjMD_Gondola_A_Paddle_C",10
"BP_Mount_A_Indoor_Window_D_Open_C",10
"BPi_Wilderness_B_Loop_H2_E_C",10
"BP_Chandelier_A_Church_NoDither_C",10
"BPI_Obj_SeikaTorch_Blue_Gacha_C",10
"MovieSceneSlomoSection",10
"MovieSceneSlomoTrack",10
"EditableTextBox",10
"BattleMemberListTab_C",10
"HardicapBattleChallengeCard_QPS3_C",10
"CommonNumberPlate02_C",10
"CommonNumberPlate_C",10
"BPI_Obj_CherryBlossomViewing_A_C",9
"BPi_LightStudio_Cty_A_C",9
"BPi_Campset_A_Bonfire_C",9
"BPii_BillboardSM_Candle_A_Stick_C",9
"BP_Wilderness_B_Loop_H3_A_C",9
"BP_Wilderness_B_Start_H4_A_C",9
"BPi_Torch_Wall_A_C",9
"BPI_Obj_Pyramid_Torch_B_C",9
"BPI_Obj_Torch_Wall_A_NoLod_C",9
"BPi_LightStudio_Wld_A_C",9
"BPI_Obj_Float_Fire_A_C",9
"CameraActor",9
"FittingCharaPanel_C",9
"MoneyPanel_C",9
"VMoneyNoticeTextPanel_C",9
"AwakeningRankIcon_M_C",9
"TowerChangeBtn_C",9
"TowerCharaStatus_C",9
"TowerEnemyDotImage_C",9
"TowerEnemyStatusDetails_C",9
"Font",9
"ArenaChara_C",9
"ArenaLine01_C",9
"CommonCharaStatusListInEffect_C",9
"ClassBoardAbilityStatusBtn_C",9
"ClassBoardAbilityStatusBtn_QPS06_C",9
"ManuscriptBossEnemyChallengeDot_C",9
"StoryBookList_C",9
"CommonHorizonListTab_C",9
"AutoDungeonRecoveryPanel_C",9
"BackgroundBlur",9
"EnemyStagePartyChPanel_C",9
"CommonCharaListIcon_C",9
"CmdBtn_C",9
"NarrationMessageWidget_C",9
"BattlePStaPanel_C",9
"BattleFStaPetIcon_C",9
"QuestDetailsChildTaskList_C",9
"StoryBookResultItemListPanel_C",9
"PartyCopyListPanel_C",9
"DiceCharacterStatusPanel_C",9
"ShopCharaListIcon_C",9
"ParticleModuleMeshMaterial",9
"TutorialMapWalkTriggerActor_C",8
"BPI_Obj_Com_Room_Staires_14_Left_C",8
"BPI_Obj_Torch_A_Far_C",8
"BPI_Obj_Plain_Cupboard_Wall_C",8
"BPI_Obj_River_Cupboard_wall_C",8
"BP_Sea_A_Indoor_Window_C_Open_C",8
"BP_Mount_A_Indoor_Window_B_Open_C",8
"BP_Chandelier_B_Residence_A_Dither_C",8
"SymbolDefeatContentsComponent",8
"BPi_LightStudio_Dst_A_C",8
"BPi_LightStudio_Snow_A_C",8
"BP_WaterFall_C_C",8
"BP_AmbientDust_C",8
"BPI_Obj_Lamp_Table_A_Hornburg_on_C",8
"AttachTab_S_C",8
"TowerRecoverBtn_C",8
"ChallengedStatus_C",8
"TimerPanel01_C",8
"ChangeStatusBtnListPanel_C",8
"CommonCharaRarelity_QPS02_C",8
"NonStBtnS_C",8
"MainMenuMenuSubBtListPanel_C",8
"CommonMapIcon_S_C",8
"BattleExtBtn02_C",8
"ActionOrderIcon_C",8
"MainMenuSkillList_C",8
"PresetSelectEquipList_C",8
"HardTicketPanel_C",8
"PartyPresetListPanel_C",8
"VectorFieldStatic",8
"BPI_Obj_Lamp_Table_A_Move_C",8
"BPI_Obj_Torch_Hang_B_3Room_C",7
"BPI_Obj_SeikaTorch_EnvSound_C",7
"BP_Lamp_D_CandleStick_One_Wall_Dungeon_C",7
"BP_City_A_Indoor_Window_A_C",7
"BP_Church_Sea_A_Indoor_A_Window_A_C",7
"BPI_Bernstein_Temple_Fence_Base_A_C",7
"BP_Candles_A_C",7
"BP_Mount_A_Indoor_Window_C_Open_C",7
"BPI_Obj_Tatrocha_Lamp_A_on_L_C",7
"BPI_Obj_Edlus_Kithenset_B_C",7
"BPi_Torch_TorchStand_EvilAltar_Small_A_C",7
"BP_FallSeed_B_C",7
"BattleGodbeastPerformUtilityActor",7
"BPI_Break_Rotato_B_C",7
"BPI_Obj_Fire_A_NoLod_C",7
"BPI_Obj_Lamp_Edlus_3C_on_feeble_C",7
"BP_FogSheet_B_Cliff_F_A_BP2_C",7
"BP_Env_LeafLit_A_C",7
"BPI_Obj_Torch_Wall_Hornburg_C_R_C",7
"BPI_Obj_Torch_Wall_Hornburg_C_L_C",7
"MovieSceneCameraCutSection",7
"MovieSceneCameraCutTrack",7
"ForceFeedbackEffect",7
"DialogPosPanel_C",7
"FCSupportCostParts_C",7
"CommonStepper_C",7
"SortAbilityCheckBox_C",7
